fecha,precio,ciudad
2016-06-01,1326387,Queretaro
2016-12-01,1395313,Queretaro
2017-06-01,2076573,Queretaro
2017-12-01,2188244,Queretaro
2018-06-01,2800147,Queretaro
2018-12-01,3163319,Queretaro
2019-06-01,3415564,Queretaro
2019-12-01,3416785,Queretaro
2020-06-01,3314814,Queretaro
2020-12-01,3427440,Queretaro
2021-06-01,3656409,Queretaro
2016-06-01,2483039,CDMX
2016-12-01,3238468,CDMX
2017-06-01,3449906,CDMX
2017-12-01,2718792,CDMX
2018-06-01,3518545,CDMX
2018-12-01,4312150,CDMX
2019-06-01,4067122,CDMX
2019-12-01,3678633,CDMX
2020-06-01,3203777,CDMX
2020-12-01,3568572,CDMX
2021-06-01,3794066,CDMX
2016-06-01,4938395,Monterrey
2016-12-01,5027156,Monterrey
2017-06-01,5777659,Monterrey
2017-12-01,5242743,Monterrey
2018-06-01,4611970,Monterrey
2018-12-01,4700871,Monterrey
2019-06-01,4887658,Monterrey
2019-12-01,5302138,Monterrey
2020-06-01,4647177,Monterrey
2020-12-01,5245647,Monterrey
2021-06-01,6174062,Monterrey
2018-06-01,3200000,Guadalajara
2018-12-01,4119296,Guadalajara
2019-06-01,4278994,Guadalajara
2019-12-01,4133347,Guadalajara
2020-06-01,3401684,Guadalajara
2020-12-01,3041840,Guadalajara
2021-06-01,3273107,Guadalajara
2016-06-01,1156502,LaPaz
2016-12-01,1457280,LaPaz
2017-06-01,1475342,LaPaz
2017-12-01,1600181,LaPaz
2018-06-01,1437438,LaPaz
2018-12-01,1748862,LaPaz
2019-06-01,1812920,LaPaz
2019-12-01,1817763,LaPaz
2020-06-01,1821411,LaPaz
2020-12-01,1815541,LaPaz
2021-06-01,1963689,LaPaz
2016-06-01,444961,Mexicali
2016-12-01,546724,Mexicali
2017-06-01,1197292,Mexicali
2017-12-01,1231906,Mexicali
2018-06-01,1155685,Mexicali
2018-12-01,1437123,Mexicali
2019-06-01,1796711,Mexicali
2019-12-01,1979025,Mexicali
2020-06-01,1944231,Mexicali
2020-12-01,2041539,Mexicali
2021-06-01,2147102,Mexicali
